izolacja	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	PVC	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE	XLPE
rodzaj żyły (metal)	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Al.	Al.	Al.	Al.	Al.	Al.	Al.	Al.	Al.	Al.	Al.	Al.	Al.	Al.	Al.	Al.	Al.	Cu	Cu	Cu	Cu	Cu	Cu	Cu	Cu
temp otoczenia (powietrza)	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30					30	30	30			30	30	30	30	30	30	30	30					30	30	30			30	30	30	30	30	30	30	30					30	30	30			30	30	30	30	30	30	30	30
temp. gruntu																									20	20	20	20				20	20									20	20	20	20				20	20									20	20	20	20				20	20								
rezystywność gruntu																									1	1	1	1				1	1									1	1	1	1				1	1									1	1	1	1				1	1								
głębokość ułożenia																									0.7	0.7	0.7	0.7				0.7	0.7									0.7	0.7	0.7	0.7				0.7	0.7									0.7	0.7	0.7	0.7				0.7	0.7								
temp. żyły 	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	70	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90
przewód/kabel	YDY 450/750 V	YDY 450/750 V	YDY 450/750 V	YDY 450/750 V	YDY 450/750 V	YDY 450/750 V	YDY 450/750 V	YDY 450/750 V	YDYp 450/750 V	YDYp 450/750 V	YDYp 450/750 V	YDYp 450/750 V	YDYp 450/750 V	YDYp 450/750 V	YDYp 450/750 V	YDYp 450/750 V	YKY 0,6/1kV	YKY 0,6/1kV	YKY 0,6/1kV	YKY 0,6/1kV	YKY 0,6/1kV	YKY 0,6/1kV	YKY 0,6/1kV	YKY 0,6/1kV	YKY 0,6/1kV	YKY 0,6/1kV	YKY 0,6/1kV	YKY 0,6/1kV	YKY 0,6/1kV	YKY 0,6/1kV	YKY 0,6/1kV	YKY 0,6/1kV	YKY 0,6/1kV	YKXS 0,6/1kV	YKXS 0,6/1kV	YKXS 0,6/1kV	YKXS 0,6/1kV	YKXS 0,6/1kV	YKXS 0,6/1kV	YKXS 0,6/1kV	YKXS 0,6/1kV	YKXS 0,6/1kV	YKXS 0,6/1kV	YKXS 0,6/1kV	YKXS 0,6/1kV	YKXS 0,6/1kV	YKXS 0,6/1kV	YKXS 0,6/1kV	YKXS 0,6/1kV	YKXS 0,6/1kV	YAKXS 0,6/1kV	YAKXS 0,6/1kV	YAKXS 0,6/1kV	YAKXS 0,6/1kV	YAKXS 0,6/1kV	YAKXS 0,6/1kV	YAKXS 0,6/1kV	YAKXS 0,6/1kV	YAKXS 0,6/1kV	YAKXS 0,6/1kV	YAKXS 0,6/1kV	YAKXS 0,6/1kV	YAKXS 0,6/1kV	YAKXS 0,6/1kV	YAKXS 0,6/1kV	YAKXS 0,6/1kV	YAKXS 0,6/1kV	N2XH 0,6/1kV	N2XH 0,6/1kV	N2XH 0,6/1kV	N2XH 0,6/1kV	N2XH 0,6/1kV	N2XH 0,6/1kV	N2XH 0,6/1kV	N2XH 0,6/1kV
obwód	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	3 fazowy	3 fazowy	3 fazowy	3 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	3 fazowy	3 fazowy	3 fazowy	3 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	3 fazowy	3 fazowy	3 fazowy	3 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy	 1 fazowy	3 fazowy
liczba żył 	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5	1	1	1	1	1	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5	1	1	1	1	1	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5	1	1	1	1	1	3	4 lub 5	3	4 lub 5	3	4 lub 5	3	4 lub 5
liczba żył obciążonych prądowo	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	3	3	3	3	3	2	3	2	3	2	3	2	3	2	3	2	3	3	3	3	3	3	2	3	2	3	2	3	2	3	2	3	2	3	3	3	3	3	3	2	3	2	3	2	3	2	3
