temperatura otoczenia (powietrza) st C;YDY 450/750 V;YDY 450/750 V;YKY 0,6/1kV;YKXS 0,6/1kV;YAKXS 0,6/1kV;N2XH 0,6/1kVz
10;1,22;1,22;1,22;1,15;1,15;1,15
15;1,17;1,17;1,17;1,12;1,12;1,12
20;1,12;1,12;1,12;1,08;1,08;1,08
25;1,06;1,06;1,06;1,04;1,04;1,04
30;1;1;1;1;1;1
35;0,94;0,94;0,94;0,96;0,96;0,96
40;0,87;0,87;0,87;0,91;0,91;0,91
45;0,79;0,79;0,79;0,87;0,87;0,87
50;0,71;0,71;0,71;0,82;0,82;0,82
55;0,61;0,61;0,61;0,76;0,76;0,76
60;0,5;0,5;0,5;0,71;0,71;0,71
65;;;;0,65;0,65;0,65
70;;;;0,58;0,58;0,58
75;;;;0,5;0,5;0,5
80;;;;0,41;0,41;0,41
