1,5;;;;;;;;;;;;;;;;;
2,5;20;19;19,5;18;23;21;28;24;;;30;25;19;22;;;25
4;27;25;26;24;31;28;38;32;;;38;33;25;29;;;33
6;35;32;33;31;40;35;49;42;;;49;41;32;38;;;41
10;48;44;45;41;54;48;67;58;;;64;54;44;52;;;54
16;64;58;60;55;72;64;91;77;114;96;83;69;58;71;;96;69
25;84;76;78;71;94;84;108;97;147;123;106;88;76;93;103;123;88
35;103;94;96;87;115;103;135;120;175;147;127;106;94;116;129;147;106
50;125;113;115;104;138;124;164;146;208;175;151;125;113;140;159;175;125
70;158;142;145;131;175;156;211;187;255;216;186;153;142;179;206;216;153
95;191;171;175;157;210;188;257;227;306;258;219;181;171;217;253;258;181
120;220;197;201;180;242;216;300;263;349;295;248;205;197;251;296;295;205
150;253;226;230;206;261;240;346;304;391;330;280;232;226;267;343;330;232
185;288;256;262;233;300;272;397;347;444;375;315;259;256;300;395;375;259
240;338;300;307;273;358;318;470;409;514;435;362;298;300;351;471;435;298
300;387;344;352;313;415;364;543;471;579;489;408;337;344;402;547;489;337
