przekrój żyły;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa;obciążalność prądowa
1,5;14,5;13,5;14;13;16,5;15;22;18,5;33;28;25;21;13,5;15,5;;28;21
2,5;19,5;18;18,5;17,5;23;20;30;25;42;36;34;28;18;21;;36;28
4;26;24;25;23;30;27;40;34;57;49;43;35;24;28;;49;35
6;34;31;32;29;38;34;51;43;72;61;54;44;31;36;;61;44
10;46;42;43;39;52;46;70;60;96;81;70;59;42;50;;81;59
16;61;56;57;52;69;62;94;80;124;105;92;75;56;68;;105;75
25;80;73;75;68;90;80;119;101;165;138;116;96;73;89;110;138;96
35;99;89;92;83;111;99;148;126;198;165;140;115;89;110;137;165;115
50;119;108;110;99;133;118;180;153;234;195;165;136;108;134;167;195;136
70;151;136;139;125;168;149;232;196;288;243;204;168;136;171;216;243;168
95;182;164;167;150;201;179;282;238;345;289;240;199;164;207;264;289;199
120;210;188;192;172;232;206;328;276;391;330;272;226;188;239;308;330;226
150;240;216;219;196;258;225;379;319;439;369;307;256;216;262;356;369;256
185;273;245;248;223;294;255;434;364;496;417;344;286;245;296;409;417;286
240;321;286;291;261;344;297;519;430;573;480;396;330;286;346;485;480;330
300;367;328;334;298;394;339;593;497;640;538;447;372;328;394;561;538;372
